commit,method,oldTime,currTime,diffTime,changePercent
7e89c9cc80bc3fd2aab64f25dd816c6d14790988,putArchiveEntry,9e+02,3e+02,-6e+02,-0.7
7e89c9cc80bc3fd2aab64f25dd816c6d14790988,testUnzipBZip2CompressedEntry,5e+02,3e+03,2e+03,4
7e89c9cc80bc3fd2aab64f25dd816c6d14790988,testUnshrinking,9e+02,1e+04,9e+03,1e+01
7e89c9cc80bc3fd2aab64f25dd816c6d14790988,testReadingOfFirstStoredEntry,3e+02,-9e+01,-4e+02,-1
7e89c9cc80bc3fd2aab64f25dd816c6d14790988,readIWAFile,2e+04,1e+05,1e+05,8
daa69a5981c7c12e0af5922f0a07653446261b07,testUnshrinking,8e+02,1e+03,6e+02,0.8
daa69a5981c7c12e0af5922f0a07653446261b07,testConcurrentReadFile,3e+03,9e+03,5e+03,2
daa69a5981c7c12e0af5922f0a07653446261b07,testConcurrentReadSeekable,2e+03,7e+03,5e+03,2
daa69a5981c7c12e0af5922f0a07653446261b07,testArchiveWithImplodeCompression4K2Trees,3e+02,7e+02,4e+02,1
daa69a5981c7c12e0af5922f0a07653446261b07,testSample,1e+03,-7e+02,-2e+03,-2
daa69a5981c7c12e0af5922f0a07653446261b07,properUseOfInflater,4e+02,1e+03,9e+02,2
a2f978e97f13697e7adfddc3f96a9131803db679,writeSmallStoredEntryUnnownSizeToFileModeAlways,2e+03,4e+03,2e+03,1
a2f978e97f13697e7adfddc3f96a9131803db679,writeSmallDeflatedEntryUnknownSizeToFileModeNever,8e+03,3e+03,-5e+03,-0.6
a2f978e97f13697e7adfddc3f96a9131803db679,testWriteZip,5e+04,-4e+04,-9e+04,-2
a2f978e97f13697e7adfddc3f96a9131803db679,testReadCpio,1e+05,6e+04,-4e+04,-0.4
a2f978e97f13697e7adfddc3f96a9131803db679,aiffFilesAreNoTARs,1e+02,-5e+01,-2e+02,-1
a2f978e97f13697e7adfddc3f96a9131803db679,testCOMPRESS209,1e+02,-5e+01,-2e+02,-1
a2f978e97f13697e7adfddc3f96a9131803db679,testOldGNU,3e+03,-1e+04,-2e+04,-5
a2f978e97f13697e7adfddc3f96a9131803db679,shouldUseSpecifiedEncodingWhenReadingGNULongNames,1e+02,-6e+01,-2e+02,-1
a2f978e97f13697e7adfddc3f96a9131803db679,testWriteLongFileNamePosixMode,4e+04,2e+04,-2e+04,-0.5
a2f978e97f13697e7adfddc3f96a9131803db679,testReadPasswordEncryptedEntryViaStream,3e+03,-2e+03,-5e+03,-2
