commit,method,oldTime,currTime,diffTime,changePercent
19ba389fe8194bb6c22102b32e021d8487e1e307,testDefaultFormat,3e+01,1e+02,8e+01,2
19ba389fe8194bb6c22102b32e021d8487e1e307,testIterator,5e+01,1e+02,6e+01,1
19ba389fe8194bb6c22102b32e021d8487e1e307,testBackslashEscaping,3e+01,8e+01,5e+01,1
19ba389fe8194bb6c22102b32e021d8487e1e307,testCarriageReturnLineFeedEndings,3e+01,6e+01,4e+01,1
19ba389fe8194bb6c22102b32e021d8487e1e307,testExcelFormat2,3e+01,7e+01,4e+01,1
19ba389fe8194bb6c22102b32e021d8487e1e307,testNextToken1,2e+01,-1e+02,-1e+02,-6
19ba389fe8194bb6c22102b32e021d8487e1e307,testNextToken1,2e+01,-1e+02,-2e+02,-7
19ba389fe8194bb6c22102b32e021d8487e1e307,testDelimiterIsWhitespace,2e+01,-1e+02,-1e+02,-5
19ba389fe8194bb6c22102b32e021d8487e1e307,testDelimiterIsWhitespace,2e+01,-9e+01,-1e+02,-5
19ba389fe8194bb6c22102b32e021d8487e1e307,testNextToken3,2e+01,6e+01,4e+01,2
740a1b699338923098486fc16d8df967be388160,testValidation,1e+03,6e+03,5e+03,3
740a1b699338923098486fc16d8df967be388160,testValidation,1e+03,5e+03,4e+03,3
740a1b699338923098486fc16d8df967be388160,testMutators,8e+01,2e+03,2e+03,2e+01
740a1b699338923098486fc16d8df967be388160,testMutators,8e+01,2e+03,2e+03,2e+01
740a1b699338923098486fc16d8df967be388160,testImmutalibity,8e+01,1e+03,1e+03,2e+01
740a1b699338923098486fc16d8df967be388160,testImmutalibity,8e+01,2e+03,2e+03,2e+01
740a1b699338923098486fc16d8df967be388160,testNextToken1,5e+02,1e+03,5e+02,1
740a1b699338923098486fc16d8df967be388160,testDelimiterIsWhitespace,4e+02,1e+03,6e+02,1
740a1b699338923098486fc16d8df967be388160,testDefaultFormat,7e+02,2e+03,8e+02,1
740a1b699338923098486fc16d8df967be388160,testDefaultFormat,7e+02,2e+03,8e+02,1
740a1b699338923098486fc16d8df967be388160,testLineFeedEndings,4e+02,1e+03,6e+02,2
740a1b699338923098486fc16d8df967be388160,testLineFeedEndings,4e+02,1e+03,9e+02,2
740a1b699338923098486fc16d8df967be388160,testEndOfFileBehaviourExcel,3e+03,5e+03,2e+03,0.8
740a1b699338923098486fc16d8df967be388160,testExcelFormat1,6e+02,1e+03,7e+02,1
740a1b699338923098486fc16d8df967be388160,testBackslashEscaping2,5e+02,2e+03,1e+03,2
740a1b699338923098486fc16d8df967be388160,testBackslashEscaping,7e+02,2e+03,2e+03,2
740a1b699338923098486fc16d8df967be388160,testBackslashEscaping,7e+02,2e+03,1e+03,1
740a1b699338923098486fc16d8df967be388160,testIgnoreEmptyLines,4e+02,9e+02,5e+02,1
740a1b699338923098486fc16d8df967be388160,testIgnoreEmptyLines,4e+02,1e+03,8e+02,2
94b9f8dc957d3a2276232c8e6f3acc6fe633b00a,testIgnoreEmptyLines,4e+02,1e+03,8e+02,2
afc831bcb837030d83f58c7cd6bd41588bfa194c,testNextToken5,4e+02,2e+03,2e+03,4
afc831bcb837030d83f58c7cd6bd41588bfa194c,testNextToken5,4e+02,2e+03,1e+03,3
afc831bcb837030d83f58c7cd6bd41588bfa194c,testNextToken4,5e+02,2e+03,2e+03,4
afc831bcb837030d83f58c7cd6bd41588bfa194c,testNextToken4,5e+02,4e+03,3e+03,6
afc831bcb837030d83f58c7cd6bd41588bfa194c,testNextToken2,4e+02,2e+03,2e+03,4
afc831bcb837030d83f58c7cd6bd41588bfa194c,testNextToken2,4e+02,2e+03,2e+03,4
afc831bcb837030d83f58c7cd6bd41588bfa194c,testNextToken1,4e+02,4e+03,3e+03,7
afc831bcb837030d83f58c7cd6bd41588bfa194c,testNextToken1,4e+02,4e+03,3e+03,7
afc831bcb837030d83f58c7cd6bd41588bfa194c,testDelimiterIsWhitespace,4e+02,2e+03,2e+03,5
afc831bcb837030d83f58c7cd6bd41588bfa194c,testDelimiterIsWhitespace,4e+02,2e+03,2e+03,4
afc831bcb837030d83f58c7cd6bd41588bfa194c,testNextToken6,4e+02,1e+03,9e+02,2
afc831bcb837030d83f58c7cd6bd41588bfa194c,testNextToken3,4e+02,2e+03,1e+03,3
afc831bcb837030d83f58c7cd6bd41588bfa194c,testNextToken3,4e+02,1e+03,1e+03,3
afc831bcb837030d83f58c7cd6bd41588bfa194c,testDefaultFormat,7e+02,1e+03,7e+02,0.9
afc831bcb837030d83f58c7cd6bd41588bfa194c,testLineFeedEndings,4e+02,1e+03,7e+02,2
afc831bcb837030d83f58c7cd6bd41588bfa194c,testLineFeedEndings,4e+02,2e+03,1e+03,3
afc831bcb837030d83f58c7cd6bd41588bfa194c,testGetLine,5e+02,4e+03,4e+03,7
afc831bcb837030d83f58c7cd6bd41588bfa194c,testGetLine,5e+02,4e+03,3e+03,7
afc831bcb837030d83f58c7cd6bd41588bfa194c,testEndOfFileBehaviorCSV,3e+03,4e+03,1e+03,0.5
afc831bcb837030d83f58c7cd6bd41588bfa194c,testEndOfFileBehaviorCSV,3e+03,5e+03,2e+03,0.9
afc831bcb837030d83f58c7cd6bd41588bfa194c,testEndOfFileBehaviourExcel,3e+03,4e+03,2e+03,0.7
afc831bcb837030d83f58c7cd6bd41588bfa194c,testEndOfFileBehaviourExcel,3e+03,6e+03,3e+03,1
afc831bcb837030d83f58c7cd6bd41588bfa194c,testGetRecords,5e+02,3e+03,3e+03,5
afc831bcb837030d83f58c7cd6bd41588bfa194c,testGetRecords,5e+02,4e+03,3e+03,7
afc831bcb837030d83f58c7cd6bd41588bfa194c,testExcelFormat1,5e+02,3e+03,3e+03,5
afc831bcb837030d83f58c7cd6bd41588bfa194c,testExcelFormat1,5e+02,3e+03,3e+03,5
afc831bcb837030d83f58c7cd6bd41588bfa194c,testIterator,6e+02,2e+03,1e+03,2
afc831bcb837030d83f58c7cd6bd41588bfa194c,testIterator,6e+02,2e+03,1e+03,2
afc831bcb837030d83f58c7cd6bd41588bfa194c,testEmptyLineBehaviourCSV,1e+03,3e+03,1e+03,1
afc831bcb837030d83f58c7cd6bd41588bfa194c,testEmptyLineBehaviourCSV,1e+03,2e+03,1e+03,0.9
afc831bcb837030d83f58c7cd6bd41588bfa194c,testBackslashEscaping2,5e+02,2e+03,1e+03,3
afc831bcb837030d83f58c7cd6bd41588bfa194c,testBackslashEscaping2,5e+02,1e+03,7e+02,2
afc831bcb837030d83f58c7cd6bd41588bfa194c,testBackslashEscaping,7e+02,4e+03,4e+03,5
afc831bcb837030d83f58c7cd6bd41588bfa194c,testBackslashEscaping,7e+02,4e+03,3e+03,5
afc831bcb837030d83f58c7cd6bd41588bfa194c,testIgnoreEmptyLines,4e+02,2e+03,2e+03,4
afc831bcb837030d83f58c7cd6bd41588bfa194c,testIgnoreEmptyLines,4e+02,2e+03,1e+03,3
afc831bcb837030d83f58c7cd6bd41588bfa194c,testEmptyLineBehaviourExcel,1e+03,3e+03,1e+03,1
afc831bcb837030d83f58c7cd6bd41588bfa194c,testEmptyLineBehaviourExcel,1e+03,2e+03,1e+03,0.8
afc831bcb837030d83f58c7cd6bd41588bfa194c,testUnicodeEscape,4e+02,1e+03,1e+03,2
afc831bcb837030d83f58c7cd6bd41588bfa194c,testUnicodeEscape,4e+02,1e+03,9e+02,2
afc831bcb837030d83f58c7cd6bd41588bfa194c,testCarriageReturnLineFeedEndings,4e+02,1e+03,1e+03,2
afc831bcb837030d83f58c7cd6bd41588bfa194c,testCarriageReturnLineFeedEndings,4e+02,2e+03,2e+03,4
afc831bcb837030d83f58c7cd6bd41588bfa194c,testExcelFormat2,4e+02,1e+03,7e+02,2
afc831bcb837030d83f58c7cd6bd41588bfa194c,testExcelFormat2,4e+02,2e+03,1e+03,3
afc831bcb837030d83f58c7cd6bd41588bfa194c,testForEach,4e+02,2e+03,1e+03,3
afc831bcb837030d83f58c7cd6bd41588bfa194c,testForEach,4e+02,1e+03,1e+03,2
afc831bcb837030d83f58c7cd6bd41588bfa194c,testCarriageReturnEndings,4e+02,2e+03,1e+03,3
