commit,method,oldTime,currTime,diffTime,changePercent
a127eaf6b81f3be06282e4b67692bacc020b8703,testCheckOpen,8e+01,-6e+02,-7e+02,-9
a127eaf6b81f3be06282e4b67692bacc020b8703,testPoolGuardConnectionWrapperEqualsNull,4e+03,1e+04,6e+03,1
a127eaf6b81f3be06282e4b67692bacc020b8703,testPoolGuardConnectionWrapperEqualsSameDelegate,5e+03,1e+04,6e+03,1
a127eaf6b81f3be06282e4b67692bacc020b8703,testClosingWithUserName,4e+03,1e+04,5e+03,1
a127eaf6b81f3be06282e4b67692bacc020b8703,testGarbageCollectorCleanUp02,2e+07,3e+07,6e+06,0.3
a127eaf6b81f3be06282e4b67692bacc020b8703,testAbandoned,2e+04,3e+04,2e+04,0.8
a127eaf6b81f3be06282e4b67692bacc020b8703,testValidationQueryTimeoutNegative,1e+04,2e+04,1e+04,1
fee5cc302a833fca4b78ed86747f2e44756aa7a4,testPreparedStatementPooling,2e+04,5e+04,3e+04,1
a3cefc2063d220efdc8a42a66164a5ff0bfd690a,testCheckOpenNull,1e+04,-9e+03,-2e+04,-2
a3cefc2063d220efdc8a42a66164a5ff0bfd690a,testCheckOpen,3e+02,1e+03,7e+02,3
a3cefc2063d220efdc8a42a66164a5ff0bfd690a,testCheckOpen,3e+02,1e+03,8e+02,3
a3cefc2063d220efdc8a42a66164a5ff0bfd690a,testSharedPoolDSDestroyOnReturn,7e+06,-3e+07,-4e+07,-6
a3cefc2063d220efdc8a42a66164a5ff0bfd690a,testLastUsedUpdate,1e+04,-3e+04,-4e+04,-4
a3cefc2063d220efdc8a42a66164a5ff0bfd690a,testAbandonedCloseWithExceptions,1e+04,-2e+04,-4e+04,-3
a3cefc2063d220efdc8a42a66164a5ff0bfd690a,testlastUsed,3e+07,3e+07,-1e+05,-0.004
a3cefc2063d220efdc8a42a66164a5ff0bfd690a,testAbandonedClose,1e+04,-4e+04,-5e+04,-4
a3cefc2063d220efdc8a42a66164a5ff0bfd690a,testAbandoned,1e+04,-4e+03,-2e+04,-1
