commit,method,oldTime,currTime,diffTime,changePercent
651283e071de6230356af058afe0c0b78e8cb8b6,testAboveThresholdSpecifiedRepository,5e+02,-7e+01,-6e+02,-1
651283e071de6230356af058afe0c0b78e8cb8b6,testAboveThresholdDefaultRepository,3e+02,-3e+02,-7e+02,-2
651283e071de6230356af058afe0c0b78e8cb8b6,testAboveThreshold,5e+02,-4e+01,-6e+02,-1
73ab5a60d0e146ab1a9ed969b14449402274b2b9,testFileSizeLimit,3e+02,4e+03,4e+03,1e+01
73ab5a60d0e146ab1a9ed969b14449402274b2b9,testFileSizeLimitWithFakedContentLength,3e+02,4e+03,4e+03,1e+01
774ef160d591b579f703c694002e080f99bcd28b,testThreeParamConstructor,1e+01,2,-1e+01,-0.9
774ef160d591b579f703c694002e080f99bcd28b,testTwoParamConstructor,1e+01,0.4,-1e+01,-1
774ef160d591b579f703c694002e080f99bcd28b,testIE5MacBug,2e+02,5e+02,3e+02,1
774ef160d591b579f703c694002e080f99bcd28b,testEmptyFile,2e+02,-1e+01,-2e+02,-1
afdedc9580dde03287979607f9ce441b23b6bc90,testFileSizeLimit,2e+02,-4e+01,-3e+02,-1
afdedc9580dde03287979607f9ce441b23b6bc90,testInvalidFileNameException,7e+03,-1e+04,-2e+04,-3
afdedc9580dde03287979607f9ce441b23b6bc90,testThreeParamConstructor,1e+01,-6e+01,-7e+01,-5
afdedc9580dde03287979607f9ce441b23b6bc90,testTwoParamConstructor,1e+01,-4e+01,-5e+01,-4
afdedc9580dde03287979607f9ce441b23b6bc90,testFILEUPLOAD62,2e+02,6,-2e+02,-1
afdedc9580dde03287979607f9ce441b23b6bc90,testFoldedHeaders,2e+02,4e+01,-2e+02,-0.8
afdedc9580dde03287979607f9ce441b23b6bc90,testIE5MacBug,2e+02,5,-2e+02,-1
afdedc9580dde03287979607f9ce441b23b6bc90,testFileUpload130,2e+02,7e+01,-1e+02,-0.6
afdedc9580dde03287979607f9ce441b23b6bc90,parseParameterMap,2e+02,2e+01,-2e+02,-0.9
afdedc9580dde03287979607f9ce441b23b6bc90,testFileUpload,2e+02,-1e+02,-3e+02,-1
afdedc9580dde03287979607f9ce441b23b6bc90,testContentTypeAttachment,2e+02,-1e+02,-3e+02,-2
10d22ac91834cc61a7de41451be1d1f15e881733,testInvalidFileNameException,6e+03,5e+04,4e+04,6
10d22ac91834cc61a7de41451be1d1f15e881733,parseParameterMap,2e+02,6e+02,4e+02,2
10d22ac91834cc61a7de41451be1d1f15e881733,parseImpliedUtf8,2e+02,3e+02,1e+02,0.8
10d22ac91834cc61a7de41451be1d1f15e881733,parseParameterMap,2e+02,8e+02,6e+02,3
