commit,method,oldTime,currTime,diffTime,changePercent
2113166ed6a359adfcde240310960f1aee3f2607,testMinIdleMaxActive,9e+06,9e+06,-1e+04,-0.001
2113166ed6a359adfcde240310960f1aee3f2607,testStartAndStopEvictor,4e+07,4e+07,-2e+05,-0.004
2113166ed6a359adfcde240310960f1aee3f2607,testStartAndStopEvictor,4e+07,4e+07,-2e+05,-0.004
2113166ed6a359adfcde240310960f1aee3f2607,testEvictionWithNegativeNumTests,4e+07,4e+07,-1e+05,-0.003
2113166ed6a359adfcde240310960f1aee3f2607,testEvictionWithNegativeNumTests,4e+07,4e+07,-9e+04,-0.002
2113166ed6a359adfcde240310960f1aee3f2607,testMinIdle,6e+07,6e+07,-1e+05,-0.002
2113166ed6a359adfcde240310960f1aee3f2607,testConstructors,1e+07,1e+07,-2e+05,-0.01
2113166ed6a359adfcde240310960f1aee3f2607,testConstructors,1e+07,1e+07,-2e+05,-0.01
2113166ed6a359adfcde240310960f1aee3f2607,testMinIdleNoPreparePool,3e+07,3e+07,-1e+05,-0.004
2113166ed6a359adfcde240310960f1aee3f2607,testMinIdleNoPreparePool,3e+07,3e+07,-1e+05,-0.004
2113166ed6a359adfcde240310960f1aee3f2607,testMinIdleMaxActive,9e+06,9e+06,-1e+04,-0.001
2113166ed6a359adfcde240310960f1aee3f2607,testMinIdle,6e+07,6e+07,-1e+05,-0.002
2113166ed6a359adfcde240310960f1aee3f2607,testConstructors,1e+03,4e+03,2e+03,2
2113166ed6a359adfcde240310960f1aee3f2607,testConstructors,2e+04,-4e+04,-6e+04,-4
5392bccc645803a66541ec1e01172a22f50da7d9,testCheckMinIdleKeyedObjectPool,1e+06,1e+06,-1e+04,-0.008
5392bccc645803a66541ec1e01172a22f50da7d9,testCheckMinIdleObjectPool,1e+06,1e+06,-1e+04,-0.008
5392bccc645803a66541ec1e01172a22f50da7d9,testMinIdle,6e+05,6e+05,-1e+04,-0.02
5392bccc645803a66541ec1e01172a22f50da7d9,testKPOFAddObjectUsage,4e+02,-1e+04,-1e+04,-3e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testMaxTotalLRU,1e+05,1e+05,-7e+03,-0.06
5392bccc645803a66541ec1e01172a22f50da7d9,testLIFO,4e+02,-7e+03,-8e+03,-2e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testKPOFClearUsages,6e+02,-8e+03,-8e+03,-1e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testMaxTotalPerKeyZero,4e+02,-8e+03,-8e+03,-2e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testKPOFCloseUsages,6e+02,-1e+04,-1e+04,-2e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testToString,4e+02,-1e+04,-1e+04,-3e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testWhenExhaustedBlockClosePool,4e+05,4e+05,-1e+04,-0.03
5392bccc645803a66541ec1e01172a22f50da7d9,testBaseBorrowReturn,3e+02,-1e+04,-1e+04,-3e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testMaxTotalZero,4e+02,-7e+03,-7e+03,-2e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testBaseClear,3e+02,-1e+04,-1e+04,-3e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testMaxWaitMultiThreaded,2e+06,2e+06,-2e+04,-0.009
5392bccc645803a66541ec1e01172a22f50da7d9,testNumActiveNumIdle2,5e+02,-8e+03,-8e+03,-2e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testBlockedKeyDoesNotBlockPool,1e+06,1e+06,-7e+03,-0.007
5392bccc645803a66541ec1e01172a22f50da7d9,testClosedPoolBehavior,3e+02,-1e+04,-1e+04,-3e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testClearOldest,1e+06,1e+06,-2e+04,-0.01
5392bccc645803a66541ec1e01172a22f50da7d9,testExceptionOnActivateDuringBorrow,4e+02,-7e+03,-8e+03,-2e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testFIFO,5e+02,-7e+03,-8e+03,-2e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testClear,6e+02,-1e+04,-1e+04,-2e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testConstructors,5e+02,-2e+04,-2e+04,-3e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testBaseNumActiveNumIdle,4e+02,-1e+04,-1e+04,-3e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testBaseBorrow,4e+02,-1e+04,-1e+04,-3e+01
5392bccc645803a66541ec1e01172a22f50da7d9,testMinIdleNoPreparePool,3e+05,3e+05,-7e+03,-0.02
