commit,method,oldTime,currTime,diffTime,changePercent
ac956fe5eed337c516beb504aadf82917c26d6ba,testLongText,3e+05,1e+06,9e+05,3
ac956fe5eed337c516beb504aadf82917c26d6ba,testBasicEscaping,1e+03,-3e+03,-4e+03,-3
8db559f7c0ba108f7b8c4a76b2ba00825e3fe8cb,testSimple,5e+02,-1e+03,-1e+03,-3
8db559f7c0ba108f7b8c4a76b2ba00825e3fe8cb,testUtf8Name2Bytes,2e+03,3e+02,-1e+03,-0.8
8db559f7c0ba108f7b8c4a76b2ba00825e3fe8cb,testSharedSymbols,4e+03,9e+03,5e+03,1
e22dbdb8ef603d6bf629c51f4a852a4083779a9b,testAboveAsciiEscapeWithUTF8Stream,3e+02,1e+03,1e+03,4
e22dbdb8ef603d6bf629c51f4a852a4083779a9b,testEscapeCustomWithUTF8Stream,2e+02,-4e+02,-7e+02,-3
b6c54cf06167b7ef8b45a67e8ddfa427e63c6c20,testToBigIntegerCoercion,4e+02,-5e+01,-5e+02,-1
b6c54cf06167b7ef8b45a67e8ddfa427e63c6c20,testToLongFailing,4e+03,9e+03,5e+03,1
b6c54cf06167b7ef8b45a67e8ddfa427e63c6c20,testToBigDecimalCoercion,5e+02,5e+01,-5e+02,-0.9
8cd1e24ad7cb031b14d90db64c49ba0a68669463,testRootInts,1e+03,-1e+03,-3e+03,-2
8cd1e24ad7cb031b14d90db64c49ba0a68669463,testRootInts,1e+03,-2e+03,-3e+03,-2
8cd1e24ad7cb031b14d90db64c49ba0a68669463,testBytesAsSource,1e+02,-1e+03,-2e+03,-1e+01
8cd1e24ad7cb031b14d90db64c49ba0a68669463,testAsBoolean,5e+02,-2e+03,-2e+03,-5
8cd1e24ad7cb031b14d90db64c49ba0a68669463,testNotAllowMultipleMatchesWithPath3,3e+02,-4e+02,-7e+02,-2
8cd1e24ad7cb031b14d90db64c49ba0a68669463,testArrayNestedWithPath,1e+03,-1e+03,-2e+03,-2
8cd1e24ad7cb031b14d90db64c49ba0a68669463,testArrayNestedWithoutPath,9e+02,-7e+02,-2e+03,-2
8cd1e24ad7cb031b14d90db64c49ba0a68669463,testEvenLongerName,1e+04,3e+02,-1e+04,-1
8cd1e24ad7cb031b14d90db64c49ba0a68669463,testLongRange,6e+02,-3e+03,-3e+03,-5
8cd1e24ad7cb031b14d90db64c49ba0a68669463,testSharedSymbols,3e+03,-2e+03,-5e+03,-2
8cd1e24ad7cb031b14d90db64c49ba0a68669463,testInitializationEnabled,2e+02,-6e+02,-9e+02,-4
8cd1e24ad7cb031b14d90db64c49ba0a68669463,testSimpleNumbers,2e+02,-9e+02,-1e+03,-6
8cd1e24ad7cb031b14d90db64c49ba0a68669463,testAposQuotingEnabled,6e+03,4e+02,-6e+03,-0.9
6d86230edf3bece2e9c06da893d0b08324348b3a,test,1e+06,1e+08,1e+08,9e+01
48b57265f6344ccb3ca5b4c57bee2d8db9817a95,testIssue34,5e+03,1e+04,5e+03,0.9
48b57265f6344ccb3ca5b4c57bee2d8db9817a95,testNextFieldName,2e+03,-5e+03,-7e+03,-3
df00f77936879607478725c70cd4dfdce5a87a7b,testNonFiltering,2e+02,-6e+02,-8e+02,-4
322accee786d188d2ae25d9a5721508784ecf471,testSimplePathLonger,1e+02,8e+02,6e+02,5
8fc4243d0f15813c9caf37635113489854cbd655,testStringWrite,2e+03,3e+03,2e+03,1
8fc4243d0f15813c9caf37635113489854cbd655,testEscapeCustomWithUTF8Stream,2e+02,-6e+02,-8e+02,-4
ef860da507ef31a604624a434040bde984d310e8,testSingleQuotesEnabled,5e+02,1e+03,1e+03,2
ef860da507ef31a604624a434040bde984d310e8,testNoAutoCloseInputStream,1e+02,8e+02,7e+02,5
ef860da507ef31a604624a434040bde984d310e8,testCommentsWithUTF8,2e+02,-6e+02,-8e+02,-4
ef860da507ef31a604624a434040bde984d310e8,testIssue34,6e+03,1e+04,3e+03,0.5
ef860da507ef31a604624a434040bde984d310e8,testIssue38,2e+02,9e+02,7e+02,3
ef860da507ef31a604624a434040bde984d310e8,testInvalidKeywordsStream,1e+04,3e+04,2e+04,2
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testCRLF,3e+02,1e+03,7e+02,2
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testIsClosed,3e+02,1e+03,7e+02,3
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testNextValueNested,4e+02,1e+03,1e+03,3
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testMismatchArrayToObject,1e+03,3e+03,2e+03,2
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testYAMLCommentsBytes,2e+02,-6e+04,-6e+04,-3e+02
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testSkipping,3e+02,1e+03,9e+02,3
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testIssue34,6e+03,4e+04,3e+04,5
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testUtf8StringTrivial,8e+02,2e+03,8e+02,1
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testEmptyName,1e+02,1e+03,9e+02,7
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testNextFieldName,3e+03,7e+04,7e+04,2e+01
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testSimpleDups,7e+03,2e+04,1e+04,2
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testAsInt,1e+03,3e+03,2e+03,2
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testBinaryWrite,2e+03,3e+03,1e+03,0.8
ea1fd86638ccaff3b707c508dd95b3b696bd6b11,testSharedSymbols,3e+03,1e+04,1e+04,3
1d97b5396e198a05a99508eaf64ece4451526a4e,testNonStandardAnyCharQuoting,9e+02,3e+03,2e+03,2
1d97b5396e198a05a99508eaf64ece4451526a4e,testSimpleObjectWrite,2e+02,-9e+02,-1e+03,-5
1d97b5396e198a05a99508eaf64ece4451526a4e,testCR,3e+02,-7e+02,-1e+03,-4
1d97b5396e198a05a99508eaf64ece4451526a4e,testCommentsEnabled,3e+02,8e+02,5e+02,2
1d97b5396e198a05a99508eaf64ece4451526a4e,testAboveAsciiEscapeWithReader,6e+02,-2e+02,-9e+02,-1
1d97b5396e198a05a99508eaf64ece4451526a4e,testSimple,3e+02,2e+03,2e+03,5
ad3a43eb9ad2f6b26c3a3c8be3c13ed090e5e0aa,testWithIndent,2e+02,1e+03,1e+03,5
5e3d980f704ceca91b263ac42efa30bedcf5a76f,testShortNameCollisionsViaParser,5e+04,2e+05,1e+05,2
5e3d980f704ceca91b263ac42efa30bedcf5a76f,testShortNameCollisionsDirectNew,4e+04,1e+05,9e+04,2
b55cfc2bd2ccda918235f0afdd80e7bfcb5c01f2,testRootSeparator,1e+02,-5e+02,-7e+02,-5
b55cfc2bd2ccda918235f0afdd80e7bfcb5c01f2,testSimple,2e+02,-7e+02,-9e+02,-4
b55cfc2bd2ccda918235f0afdd80e7bfcb5c01f2,testMissingEscaping,5e+02,2e+03,1e+03,2
b55cfc2bd2ccda918235f0afdd80e7bfcb5c01f2,testCommentsWithUTF8,3e+02,-5e+02,-8e+02,-3
b55cfc2bd2ccda918235f0afdd80e7bfcb5c01f2,testBigDecimalAsPlain,2e+02,-5e+02,-7e+02,-4
b55cfc2bd2ccda918235f0afdd80e7bfcb5c01f2,testNameEscaping,8e+02,-9e+01,-9e+02,-1
b55cfc2bd2ccda918235f0afdd80e7bfcb5c01f2,testIsNextTokenName3,2e+02,7e+02,5e+02,3
b55cfc2bd2ccda918235f0afdd80e7bfcb5c01f2,testNextLongValue,4e+02,-8e+02,-1e+03,-3
b55cfc2bd2ccda918235f0afdd80e7bfcb5c01f2,testIsClosed,4e+02,-3e+02,-8e+02,-2
