commit,method,oldTime,currTime,diffTime,changePercent
7d1f87082d49377c67b046df8dbbabad482b224b,synchronizeMailboxSynchronous_withAccountSetToSyncRemoteDeletions_shouldDeleteLocalCopiesOfExistingMessagesBeforeEarliestPollDate,1e+03,-1e+04,-1e+04,-1e+01
7d1f87082d49377c67b046df8dbbabad482b224b,synchronizeMailboxSynchronous_withAccountSetToSyncRemoteDeletions_shouldDeleteLocalCopiesOfExistingMessagesBeforeEarliestPollDate,9e+02,-8e+03,-9e+03,-1e+01
7d1f87082d49377c67b046df8dbbabad482b224b,synchronizeMailboxSynchronous_withAccountSetToSyncRemoteDeletions_shouldDeleteLocalCopiesOfDeletedMessages,9e+02,-9e+02,-2e+03,-2
5b605f25ab7c837279347cf9895c82c5705eb813,open_withNegativeResponseToCompressionCommand_shouldContinue,8e+04,8e+04,3e+03,0.03
5b605f25ab7c837279347cf9895c82c5705eb813,open_withNegativeResponseToListCommand,4e+04,4e+04,1e+03,0.03
5b605f25ab7c837279347cf9895c82c5705eb813,fetchPart_withTextSection_shouldIssueRespectiveCommand,6e+02,4e+01,-5e+02,-0.9
5b605f25ab7c837279347cf9895c82c5705eb813,getHighestUid_imapConnectionThrowsIOException_shouldThrowMessagingException,6e+02,1e+03,7e+02,1
5b605f25ab7c837279347cf9895c82c5705eb813,open_shouldMakeExistReturnTrueWithoutExecutingAdditionalCommands,5e+02,-3e+02,-7e+02,-2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubEncrypted__shouldReturnRoot,1e+02,4e+02,3e+02,3
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubEncrypted__shouldReturnRoot,1e+02,5e+02,4e+02,4
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubEncrypted__shouldReturnRoot,1e+02,4e+02,3e+02,3
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubEncryptedAndText__shouldReturnEncrypted,1e+02,6e+02,5e+02,5
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubEncryptedAndText__shouldReturnEncrypted,1e+02,3e+02,2e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubEncryptedAndText__shouldReturnEncrypted,1e+02,4e+02,3e+02,3
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubTextAndEncrypted__shouldReturnEncrypted,1e+02,6e+02,5e+02,5
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubTextAndEncrypted__shouldReturnEncrypted,1e+02,4e+02,3e+02,3
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubTextAndEncrypted__shouldReturnEncrypted,1e+02,4e+02,3e+02,3
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubEncryptedAndEncrypted__shouldReturnBoth,1e+02,6e+02,5e+02,5
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubEncryptedAndEncrypted__shouldReturnBoth,1e+02,6e+02,5e+02,5
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubEncryptedAndEncrypted__shouldReturnBoth,9e+01,5e+02,4e+02,4
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncryptedPartsShouldReturnEmptyEncryptedPart,9e+01,3e+02,2e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncryptedPartsShouldReturnEmptyEncryptedPart,9e+01,3e+02,3e+02,3
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncryptedPartsShouldReturnEmptyEncryptedPart,8e+01,2e+02,2e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncryptedPartsShouldReturnMultipleEncryptedParts,1e+02,6e+02,5e+02,5
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncryptedPartsShouldReturnMultipleEncryptedParts,1e+02,6e+02,5e+02,5
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncryptedPartsShouldReturnMultipleEncryptedParts,1e+02,4e+02,3e+02,3
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findSigned__withComplexMultipartSigned__shouldReturnRoot,2e+02,6e+02,4e+02,3
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findSigned__withComplexMultipartSigned__shouldReturnRoot,2e+02,6e+02,4e+02,3
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findSigned__withComplexMultipartSigned__shouldReturnRoot,2e+02,6e+02,5e+02,3
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findSigned__withSimpleMultipartSigned__shouldReturnRoot,2e+02,3e+02,2e+02,1
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubTextAndSigned__shouldReturnSigned,2e+02,4e+02,2e+02,1
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubTextAndSigned__shouldReturnSigned,2e+02,5e+02,3e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubTextAndSigned__shouldReturnSigned,2e+02,5e+02,4e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubSigned__shouldReturnSigned,2e+02,5e+02,4e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubSigned__shouldReturnSigned,2e+02,5e+02,3e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubSigned__shouldReturnSigned,2e+02,4e+02,2e+02,1
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartEncrypted__shouldReturnRoot,9e+01,3e+02,2e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartEncrypted__shouldReturnRoot,9e+01,3e+02,2e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartEncrypted__shouldReturnRoot,9e+01,3e+02,2e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubSignedAndText__shouldReturnSigned,2e+02,6e+02,4e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubSignedAndText__shouldReturnSigned,2e+02,5e+02,4e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,findEncrypted__withMultipartMixedSubSignedAndText__shouldReturnSigned,2e+02,5e+02,4e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,generateBoundary_allZeros,2e+02,6e+02,4e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,generateBoundary,2e+02,7e+02,5e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,buildCidMap__onMultipartWithEmptyBodyPart__shouldReturnEmptyMap,2e+02,5e+02,3e+02,1
8def88afcbc9ee1d227f0b2773a301884a35b1d3,buildCidMap__onMultipartWithEmptyBodyPart__shouldReturnEmptyMap,2e+02,4e+02,2e+02,0.8
8def88afcbc9ee1d227f0b2773a301884a35b1d3,testMultipartPlainTextMessage,2e+02,7e+02,5e+02,2
8def88afcbc9ee1d227f0b2773a301884a35b1d3,testMultipartPlainTextMessage,2e+02,4e+02,2e+02,1
79c65d4cff60ef6dd3e452591ae8f8dcec18630a,synchronizeMailboxSynchronous_withNoRemoteFolderProvided_shouldCloseRemoteFolderFromStore,8e+02,-2e+02,-1e+03,-1
